,Rank,Country / Dependency,Population,Percentage of the world,Date,Source (official or from the United Nations)
0,1,India,1425775850,17.6%,14 Apr 2023,UN projection[92]
1,2,China,1412600000,17.5%,31 Dec 2021,National annual estimate[93]
2,3,United States,335858581,4.16%,19 Dec 2023,National population clock[94]
3,4,Indonesia,278696200,3.45%,1 Jul 2023,National annual estimate[95]
4,5,Pakistan,229488994,2.84%,1 Jul 2022,UN projection[96]
5,6,Nigeria,216746934,2.68%,1 Jul 2022,UN projection[96]
6,7,Brazil,217046878,2.69%,19 Dec 2023,National population clock[97]
7,8,Bangladesh,168220000,2.08%,1 Jul 2020,Annual Population Estimate[98]
8,9,Russia,147190000,1.82%,1 Oct 2021,2021 preliminary census results[99]
9,10,Mexico,128271248,1.59%,31 Mar 2022,
